Date,Exercise,Sets,Repetitions,Weight Avg,Working 1 Rep Max,Percentile
2022/8/3,Pull Ups,3,9,149,191,13.6667,
2022/8/3,Sumo Deadlift,4,3,361,391,54,
2022/7/31,Sumo Deadlift,2,1,505,505,85,
2022/7/31,Squat,1,1,425,425,90,
2022/7/31,Bench Press,1,1,250,250,64,
2022/7/29,Deadlift,3,4,290,320,41,
2022/7/29,Pendlay Row,3,7,135,161,23,
2022/7/29,Pull Ups,8,5,145,168,6.25,
2022/7/27,Sled Leg Press,6,8,370,459,41,
2022/7/27,Squat,4,7,291,358,68.75,
2022/7/26,Incline Dumbbell Bench Press,3,7,55,67,20.6667,
2022/7/26,Bench Press,5,6,186,219,48.4,
2022/7/25,Seated Cable Row,5,10,125,166,32,
2022/7/25,Pull Ups,3,10,139,185,11,
2022/7/25,Sumo Deadlift,10,5,323,367,45.6,
2022/7/20,Shoulder Press,1,2,100,102,17,
2022/7/20,Incline Dumbbell Bench Press,1,10,55,73,27,
2022/7/20,Bench Press,6,4,186,207,41.3333,
2022/7/20,Seated Cable Row,6,10,125,166,31,
2022/7/20,Pull Ups,2,10,146,194,13,
2022/7/19,Sumo Deadlift,6,5,316,355,39,
2022/7/13,Incline Dumbbell Bench Press,5,8,60,74,28,
2022/7/13,Shoulder Press,10,3,117,126,34.5,
2022/7/12,Deadlift,5,6,310,360,57,
2022/7/12,Seated Cable Row,6,8,125,155,25.1667,
2022/7/12,Pull Ups,4,3,183,194,14,
2022/7/10,Romanian Deadlift,10,5,195,223,30,
2022/7/10,Squat,7,4,321,354,72,
2022/7/9,Dumbbell Shoulder Press,10,8,45,55,25,
2022/7/9,Bench Press,5,3,214,229,55.4,
2022/7/8,Chin Ups,5,7,169,204,17.6,
2022/7/8,Pendlay Row,5,7,150,181,37,
2022/7/8,Sumo Deadlift,3,3,391,414,62.6667,
2022/7/6,Romanian Deadlift,5,7,190,228,29,
2022/7/6,Sled Leg Press,10,7,365,441,35.6,
2022/7/5,Incline Dumbbell Bench Press,3,9,60,77,31,
2022/7/5,Shoulder Press,10,4,105,118,27.6,
2022/7/4,Deadlift,5,3,315,336,47,
2022/7/4,Seated Cable Row,6,9,115,152,22.8333,
2022/7/4,Pull Ups,4,5,183,207,19.25,
2022/7/2,Romanian Deadlift,4,7,190,229,32.75,
2022/7/2,Squat,3,6,320,392,78.3333,
2022/7/1,Dumbbell Shoulder Press,6,9,45,57,28,
2022/7/1,Bench Press,5,4,200,218,49.8,
2022/6/30,Chin Ups,4,7,178,216,25,
2022/6/30,Pendlay Row,3,6,150,178,36,
2022/6/30,Sumo Deadlift,7,3,360,388,54.8571,
2022/6/29,Romanian Deadlift,4,6,190,226,31.75,
2022/6/29,Sled Leg Press,9,10,340,453,41,
2022/6/28,Dumbbell Bench Press,9,10,42,56,15,
2022/6/28,Shoulder Press,4,6,104,122,33.5,
2022/6/27,Seated Cable Row,4,10,105,140,19,
2022/6/27,Pull Ups,8,5,144,165,5.75,
2022/6/24,Squat,3,7,305,378,77.6667,
2022/6/23,Neck Extension,3,18,31,59,30,
2022/6/23,Neck Curl,2,10,30,42,25.5,
2022/6/23,Reverse Wrist Curl,2,11,30,42,15.5,
2022/6/23,Wrist Curl,3,18,30,56,18,
2022/6/23,Tricep Pushdown,3,15,85,146,50.6667,
2022/6/23,Dumbbell Shoulder Press,6,9,40,52,22.3333,
2022/6/23,Bench Press,10,5,178,203,42.4,
2022/6/22,Sumo Deadlift,4,6,347,409,61,
2022/6/16,Pull Ups,5,4,177,193,15.8,
2022/6/15,Dumbbell Shoulder Press,5,8,42,52,22.8,
2022/6/15,Bench Press,5,9,166,213,47.8,
2022/6/14,Deadlift,5,6,275,327,47.8,
2022/6/14,Squat,5,9,279,361,75.8,
2022/6/13,Chin Ups,5,8,147,188,11,
2022/6/13,Pendlay Row,5,9,134,172,32.4,
2022/6/12,Incline Bench Press,5,7,115,141,16.6,
2022/6/12,Shoulder Press,5,10,92,124,34.6,
2022/6/11,Sumo Deadlift,5,4,344,379,52,
2022/6/10,Seated Cable Row,5,10,115,153,26,
2022/6/10,Pull Ups,5,9,135,175,9.4,
2022/6/9,Dumbbell Shoulder Press,5,8,40,49,19.6,
2022/6/9,Bench Press,5,10,159,216,47.6,
2022/6/5,Seated Cable Row,5,15,100,163,25,
2022/6/5,Pull Ups,5,11,131,183,10.2,
2022/6/3,Push Press,5,9,90,117,14.6,
2022/6/3,Bench Press,5,13,135,203,36.6,
2022/5/30,Chest Press,5,8,122,153,27.8,
2022/5/30,Shoulder Press,5,10,88,117,29.4,
2022/5/29,Sumo Deadlift,5,3,294,311,27.4,
2022/5/23,Seated Cable Row,5,11,110,156,25.4,
2022/5/23,Pull Ups,5,10,132,178,9,
2022/5/22,Machine Shoulder Press,5,11,106,146,38,
2022/5/22,Bench Press,5,9,155,203,44,
2022/5/19,Chin Ups,5,11,129,181,8,
2022/5/19,Pendlay Row,5,9,129,168,30,
2022/5/18,Chest Press,4,10,126,168,35,
2022/5/18,Shoulder Press,5,9,90,116,30.4,
2022/5/16,Sled Leg Press,5,10,177,236,7.8,
2022/5/16,Sumo Deadlift,5,4,320,353,44.6,
2022/5/15,Seated Cable Row,5,11,110,158,27.8,
2022/5/15,Pull Ups,5,8,139,174,9,
2022/5/14,Machine Shoulder Press,5,12,107,158,39.6,
2022/5/14,Bench Press,5,8,157,200,40.8,
2022/5/12,Deadlift,5,12,242,370,55,
2022/5/12,Squat,5,8,272,338,71.6,
2022/5/11,Chin Ups,5,12,126,182,7.4,
2022/5/11,Pendlay Row,5,10,123,164,26.8,
2022/5/10,Chest Press,5,9,128,164,32.6,
2022/5/10,Shoulder Press,5,8,91,116,29.4,
2022/5/9,Sumo Deadlift,3,9,326,419,65,
2022/5/5,Sled Press Calf Raise,2,15,213,348,26,
2022/5/5,Neck Extension,1,15,27,44,24,
2022/5/5,Neck Curl,1,15,27,44,27,
2022/5/5,Machine Reverse Fly,5,15,80,130,33,
2022/5/5,Preacher Curl,5,11,50,71,20.8,
2022/5/5,Seated Calf Raise,3,14,108,172,29.6667,
